"Country,Other",Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,"Serious, Critical",Tot Cases/ 1M pop,Deaths/ 1M pop,Total Tests,Tests/ 1M pop,Population
,World,"691,206,292",+464,"6,898,266",0,"663,756,361","+10,672","20,551,665","37,266","88,675",885.0,,
1,USA,"107,352,160",,"1,168,485                                ",,"105,509,635",,"674,040",779,"320,641","3,490","1,180,836,367","3,526,935"
2,India,"44,994,407",,"531,910                                ",,"44,461,044",,"1,453",N/A,"31,987",378,"930,797,975","661,721"
3,France,"40,138,560",,"167,642                                ",,"39,954,415","+2,895","16,503",869,"612,013","2,556","271,490,188","4,139,547"
4,Germany,"38,428,685",,"174,352                                ",,"38,240,600",,"13,733",N/A,"458,119","2,078","122,332,384","1,458,359"
5,Brazil,"37,682,660",,"704,159                                ",,"36,249,161",,"729,340",N/A,"174,980","3,270","63,776,166","296,146"
6,Japan,"33,803,572",,"74,694                                ",,N/A,N/A,N/A,83,"269,169",595,"100,414,883","799,578"
7,S. Korea,"32,256,154",,"35,071                                ",,"31,983,415","+6,379","237,668",119,"628,409",683,"15,804,065","307,892"
8,Italy,"25,897,801",,"190,868                                ",,"25,593,568",,"113,365",56,"429,748","3,167","273,634,829","4,540,695"
9,UK,"24,636,637",,"227,524                                ",,"24,404,167",+541,"4,946",N/A,"359,670","3,322","522,526,476","7,628,357"
10,Russia,"22,963,688",,"399,649                                ",,"22,408,708",,"155,331",N/A,"157,495","2,741","273,400,000","1,875,095"
11,Turkey,"17,232,066",,"102,174                                ",,N/A,N/A,N/A,,"201,399","1,194","162,743,369","1,902,052"
12,Spain,"13,914,811",,"121,760                                ",,"13,762,417",,"30,634",231,"297,840","2,606","471,036,328","10,082,298"
13,Australia,"11,700,577",,"21,817                                ",,"11,668,002",,"10,758",41,"448,835",837,"81,916,639","3,142,326"
14,Vietnam,"11,620,947",+57,"43,206                                ",,"10,640,164",+15,"937,577",3,"117,438",437,"85,826,548","867,342"
18,Mexico,"7,633,355",,"334,336                                ",,"6,885,378",,"413,641",N/A,"58,021","2,541","20,013,810","152,124"
19,Iran,"7,612,637",,"146,301                                ",,"7,370,242",,"96,094",4,"88,496","1,701","56,899,737","661,449"
20,Indonesia,"6,812,127",,"161,879                                ",,"6,642,003",,"8,245",N/A,"24,404",580,"114,158,919","408,975"
21,Poland,"6,517,920",+6,"119,630                                ",,"5,335,940",,"1,062,350",53,"172,707","3,170","38,794,531","1,027,948"
22,Colombia,"6,373,599",,"142,836                                ",,"6,190,683",,"40,080",342,"123,729","2,773","36,951,507","717,327"
24,Austria,"6,081,287",,"22,542                                ",,"6,054,934",,"3,811",14,"670,727","2,486","211,273,524","23,302,116"
25,Portugal,"5,593,092",,"26,899                                ",,"5,563,971",,"2,222",61,"551,556","2,653","46,139,518","4,549,993"
27,Chile,"5,288,437",,"64,497                                ",,"5,223,894",,46,7,"274,721","3,350","49,834,506","2,588,779"
28,Malaysia,"5,116,265",,"37,152                                ",,"5,064,159",,"14,954",36,"154,192","1,120","68,365,713","2,060,383"
29,Israel,"4,829,214",,"12,568                                ",,"4,798,473",,"18,173",21,"517,823","1,348","41,373,364","4,436,346"
30,Belgium,"4,801,724",,"34,375                                ",,"4,765,387",,"1,962",43,"411,520","2,946","37,018,657","3,172,590"
32,Thailand,"4,752,422",,"34,371                                ",,"4,692,636",,"25,415",N/A,"67,816",490,"17,270,775","246,450"
